Tom is ill.	汤姆生病了。
You must get rid of that bad habit.	你必须改掉这个坏习惯。
I will pay you the money tomorrow.	我明天會付錢給你。
A good idea came to him.	他想到一个好主意。
It's a very sad story.	这是一个非常悲伤的故事。
Tom said hi.	汤姆打了个招呼。
You'd better go in person.	你最好親自去。
Tom doesn't understand what Mary is trying to say.	汤姆不理解玛丽想说什么。
Turn off the TV.	关闭电视机
I'm going to go there with Tom.	我要和汤姆去那里。
He looks like an honest man.	他看起来忠厚老实。
Turn it off.	把它关掉。
What's in the closet?	橱柜里有什么？
She got very angry with her children.	她对她的孩子非常生气。
What's the purpose of your trip?	你旅行的目的是什麼？
What made her so angry?	什麼事讓她這麼生氣？
I want to talk with your uncle.	我想跟你叔叔談談。
I can't understand this at all.	我一點也不懂這個。
I can't shut it down.	我不能關掉它。
He asked if I liked Chinese food.	他問我是否喜歡中國菜。
I haven't eaten for many days.	我好多天没吃东西了。
That's quite meaningless.	这毫无意义。
I don't remember your name.	我不记得你的名字了。
My cats will love this.	我的猫会爱上这个。
Generally speaking, men can run faster than women can.	一般來說, 男人比女人跑得快。
She made tea for me.	她给我泡了茶。
She applied her mind to her new job.	她专注在她的新工作上。
Did you bring a hair dryer?	你有帶吹風機嗎？
I want you to wear this.	我想让你穿这件。
People should be the masters of their own destinies.	每個人都應該做自己命運的主人。
The short answer is yes.	短回答是是。
At least tell me where you're going.	至少告诉我们你要去哪里。
Tom isn't smiling.	汤姆没在笑。
No matter how hard I try, I can't do it any better than she can.	无论我多么努力尝试，我都无法做到比她更好。
She abandoned her children.	她抛弃了她的孩子。
My aunt made a new skirt for me.	我姑姑做了一條新裙子給我。
Would you mind saying that once more?	請你再說一次好嗎？
I prefer to remain seated.	我更想繼續坐著。
For the time being, I'm studying French at this language school.	目前，我正在這所語言學校學習法語。
I guess you're right.	我猜你是對的。
What we need is help.	我们需要的是帮助。
I think to clearly distinguish opinion from fact is important.	我认为辨别清楚意见和事实很重要。
How did you enjoy the party?	你在派對上玩得開心嗎?
Everybody knew that Tom could speak French well.	每个人都知道汤姆的法语很好。
I think he is not home.	我觉得他不在家。
All their secrets have been revealed.	他們所有的秘密都已經被揭曉了。
Have a nice trip!	旅途愉快！
I'm getting married next Sunday.	我下週日要結婚了。
Tom knows all the answers.	汤姆知道所有答案。
Tangerines contain a lot of vitamin C.	柳丁含有大量的維生素 C。
To the man who only has a hammer in the toolkit, every problem looks like a nail.	对工具箱里只有一把榔头的人来说，所有的问题都像钉子。
I don't care a bit about the future.	我不在乎将来。
Wait and see.	走著瞧
How can I get to the police station?	我怎么去警察局？
May I ask you to close the window?	帮我关下窗可以吗？
It is difficult to speak three languages.	說三種語言是很困難的。
Is there anything you want me to buy?	有什么你想让我买的吗？
I noticed she was wearing a new hat.	我注意到她当时戴了顶新帽子。
She walked around looking for him.	她走來走去地找他。
He will survive.	他會倖存。
Have you ever seen Tom mad?	你有看见过汤姆生气的时候吗？
She kept the secret to herself.	她守著這個秘密。
This problem is worth discussing.	這個問題是值得討論的。
It's so hard.	太难了。
The king crushed his enemies.	國王摧毀了他的敵人。
Tom explained it to Mary very carefully.	汤姆仔细地给玛丽解释。
I love him, but he loves someone else.	我爱他，但他有了心上人。
They will arrive a week from today.	他們將於下個星期的今天抵達。
There are a lot of hot springs in Japan.	日本有很多温泉。
She was wearing a blue coat.	她穿了一件蓝色大衣。
I have to write a letter. Do you have some paper?	我要写一封信。你有纸吗？
This song makes me homesick.	这首歌让我想家了。
I'll be here tomorrow, I think.	看來我明天會到這裡來。
He read the letter over and over.	他把信读了一遍又一遍。
I didn't want to humiliate you.	我不是想要羞辱你。
Speaking English is useful.	说英语很有用。
I saw many birds yesterday morning.	我昨天早上看到了很多鸟。
Did you learn that from Tom?	你從湯姆那裡學到了嗎？
We saw a funny movie last Sunday.	我們上星期天看了一場很有趣的電影。
He makes a living as a salesman.	他當推銷員為生。
The girl playing the piano is my sister.	弹钢琴的女孩是我妹妹。
Maybe next time.	也许下一次吧。
Tom took this photo.	汤姆拍了这张照。
Uncle Tom is my mother's brother.	湯姆叔叔是我媽媽的兄弟。
These are my books, and those are his books.	这些是我的书，而那些是他的书。
We have a little time left.	我們還有一點時间。
I have not seen him for a long time.	我很久没见过他了。
I'm tired of eating fast food.	我厌倦吃快餐了。
Are you mad?	您生气了吗？
Have you tasted the rice?	你尝过米饭了吗？
The moon was full last night.	昨晚月亮满了。
Today, I am feeling a lot better.	我今天感觉好多了。
Tom told me he'd love to help.	汤姆告诉我他很乐意帮助。
Tom isn't lying.	湯姆沒有說謊。
What awful weather!	多么糟糕的天气啊！
The senator was censured by the congressional ethics committee.	议员受到了议会道德委员会的谴责。
Is it true you're trying to do that?	你真的要试着那样做吗？
Tom heard the sound.	汤姆听到了声音。
A new difficulty has arisen.	出现了新困难。
It's nearly six o'clock.	差不多六点了。
Please don't ask.	請不要問。
I miss you so much.	好想見到你
We buy eggs by the dozen.	鸡蛋是论打买的。
I'd like to make a call to Tokyo, Japan. The number is 3202-5625.	我想要打个电话到日本东京，号码是3202－5625。
This is ice.	這是冰塊。
A parrot can mimic a person's voice.	鸚鵡會模仿人的聲音。
I feel as if I've woken up from a nightmare.	我覺得我好像從惡夢中驚醒。
She cried bitterly.	她痛哭了起來。
Tom was sent back to Boston.	汤姆被送回了波士顿
The boy came running into the room.	小男孩跑進了房間。
It's four o'clock by my watch.	我表上是4点。
He dreamed of being a hero.	他梦想着成为一名英雄。
Give me something to write on.	給我一些我可以在上面寫字的東西。
You should come home before six.	六点之前要回家。
Do you have plans for tonight?	今晚有什么计划吗？
He has been sick since last night.	他從昨晚開始就生病了。
I have a cow.	我有一头母牛。
He is numbered among the greatest scientists in the world.	他是世界上最伟大的科学家之一。
She's just a child.	她只是個孩子。
The situation is improving, so cheer up!	情況正在改善，所以振作起來！
Tom has never been in prison.	湯姆從沒進過監獄。
Better late than never.	迟做总比不做好。
Is that the railroad station?	这是火车站吗？
The situation hasn't changed at all.	情况丝毫没有改变。
It's spring.	春天了
This is a kind of watermelon.	这是一种西瓜。
She told him that she believed in astrology.	她告诉了他自己相信占星术。
You've got a lot of willpower.	你的意志力很強。
This is all I know.	這是我所知道的。
She feels at ease in their home.	她在他们家里感觉很放松。
I won't make that mistake again.	我不會再犯那錯了。
I believe that he'll do fine.	我相信他會做得很好。
It's no use your begging him for help.	你求他帮忙没有用。
I will badly miss you if you leave Japan.	如果你离开日本，我会非常想你的。
He promised to come, but he didn't come.	他保证过会来却没有来。
Tom used a fire extinguisher to try and put the fire out.	湯姆試著用滅火器把火撲滅。
Tom didn't take his shoes off.	汤姆没脱鞋。
Switzerland is a neutral country.	瑞士是一个中立的国家。
There was hardly anyone in the room.	房間裡幾乎沒有人。
I don't know the meaning of this word.	我不知道这个词的意思。
The lubrication system was poorly designed.	润滑系统设计得不好。
I began playing golf years ago.	幾年前我開始打高爾夫球。
Let me know the result as soon as you can.	尽早让我知道结果。
I need evidence.	我需要證據。
That child can count to twenty.	这孩子能数到20。
